,game,player,color,move,turn,timestamp
1721,25,Tombombadillen,White,f4,13,0:01:01
1722,25,Alfons2357,Black,Nf6,14,0:01:05
1723,25,Tombombadillen,White,c3,15,0:01:10
1724,25,Alfons2357,Black,Qb6,16,0:01:08
1725,25,Tombombadillen,White,Nd2,17,0:01:11
1726,25,Alfons2357,Black,Nbd7,18,0:01:13
1727,25,Tombombadillen,White,Qc4,19,0:01:13
1728,25,Alfons2357,Black,Qe3+,20,0:01:19
1729,25,Tombombadillen,White,Kd1,21,0:01:17
1730,25,Alfons2357,Black,Nxe5,22,0:01:22
1731,25,Tombombadillen,White,fxe5,23,0:01:20
1732,25,Alfons2357,Black,Ng4,24,0:01:24
1733,25,Tombombadillen,White,e6,25,0:01:23
1734,25,Alfons2357,Black,fxe6,26,0:01:25
1735,25,Tombombadillen,White,Qxe6,27,0:01:24
1736,25,Alfons2357,Black,Nf2+,28,0:01:31
1737,25,Tombombadillen,White,Kc2,29,0:01:35
1738,25,Alfons2357,Black,Qd3+,30,0:01:43
1739,25,Tombombadillen,White,Kb3,31,0:01:42
1740,25,Alfons2357,Black,Nxh1,32,0:01:52
1741,25,Tombombadillen,White,Nxe4,33,0:01:45
1742,25,Alfons2357,Black,Qb5+,34,0:01:53
1743,25,Tombombadillen,White,Kc2,35,0:01:46
1744,25,Alfons2357,Black,Rd8,36,0:01:56
1745,25,Tombombadillen,White,Bg5,37,0:01:49
1746,25,Alfons2357,Black,Qe2+,38,0:02:05
1747,25,Tombombadillen,White,Kb3,39,0:01:50
1748,25,Alfons2357,Black,Qb5+,40,0:02:07
