,game,player,color,move,turn
12602,140,Fischer Robert J (USA),Black,Nc4,58
12603,140,Quinteros Miguel A (ARG),White,Qh4,59
12604,140,Fischer Robert J (USA),Black,Rf7,60
12605,140,Quinteros Miguel A (ARG),White,Qd4,61
12606,140,Fischer Robert J (USA),Black,Kg8,62
12607,140,Quinteros Miguel A (ARG),White,Bf4,63
12608,140,Fischer Robert J (USA),Black,Rc5,64
12609,140,Quinteros Miguel A (ARG),White,Bf3,65
12610,140,Fischer Robert J (USA),Black,Rxb5,66
12611,140,Quinteros Miguel A (ARG),White,h3,67
12612,140,Fischer Robert J (USA),Black,Ncxe5,68
12613,140,Quinteros Miguel A (ARG),White,Ba8,69
12614,140,Fischer Robert J (USA),Black,Rf8,70
12615,140,Quinteros Miguel A (ARG),White,Bxe5,71
12616,140,Fischer Robert J (USA),Black,Nxe5,72
12617,140,Quinteros Miguel A (ARG),White,Qxa7,73
12618,140,Fischer Robert J (USA),Black,Bd5,74
12619,140,Quinteros Miguel A (ARG),White,Bxd5+,75
12620,140,Fischer Robert J (USA),Black,Rxd5,76
12621,140,Quinteros Miguel A (ARG),White,Qe3,77
12622,140,Fischer Robert J (USA),Black,Ra5,78
