"X";"game";"player";"color";"move";"turn"
3519;47;"Ivanchuk, Vassily";"Black";"cxd5";8
3520;47;"Reinderman, Dimitri";"White";"Nc3";9
3521;47;"Ivanchuk, Vassily";"Black";"e6";10
3617;49;"Ledger, Andrew J";"White";"e4";1
3618;49;"Schmedders, Hans-Gerd";"Black";"c6";2
3619;49;"Ledger, Andrew J";"White";"d4";3
3620;49;"Schmedders, Hans-Gerd";"Black";"d5";4
3621;49;"Ledger, Andrew J";"White";"exd5";5
3622;49;"Schmedders, Hans-Gerd";"Black";"cxd5";6
3623;49;"Ledger, Andrew J";"White";"c4";7
3624;49;"Schmedders, Hans-Gerd";"Black";"Nf6";8
3625;49;"Ledger, Andrew J";"White";"Nc3";9
3626;49;"Schmedders, Hans-Gerd";"Black";"g6";10
3692;50;"Kharlov, Andrei";"White";"e4";1
3693;50;"Svetushkin, Dmitry";"Black";"c6";2
3694;50;"Kharlov, Andrei";"White";"d4";3
3695;50;"Svetushkin, Dmitry";"Black";"d5";4
3696;50;"Kharlov, Andrei";"White";"exd5";5
3697;50;"Svetushkin, Dmitry";"Black";"cxd5";6
3698;50;"Kharlov, Andrei";"White";"c4";7
3699;50;"Svetushkin, Dmitry";"Black";"Nf6";8
3700;50;"Kharlov, Andrei";"White";"Nc3";9
3701;50;"Svetushkin, Dmitry";"Black";"e6";10
3735;51;"Prasad, Devaki V";"White";"e4";1
3736;51;"Kreiman, Boris";"Black";"c6";2
3737;51;"Prasad, Devaki V";"White";"d4";3
3738;51;"Kreiman, Boris";"Black";"d5";4
3739;51;"Prasad, Devaki V";"White";"exd5";5
3740;51;"Kreiman, Boris";"Black";"cxd5";6
3741;51;"Prasad, Devaki V";"White";"c4";7
3742;51;"Kreiman, Boris";"Black";"Nf6";8
3743;51;"Prasad, Devaki V";"White";"Nc3";9
3744;51;"Kreiman, Boris";"Black";"e6";10
3886;53;"Lanka, Zigurds";"White";"e4";1
3887;53;"Schmidt, P";"Black";"c6";2
3888;53;"Lanka, Zigurds";"White";"d4";3
3889;53;"Schmidt, P";"Black";"d5";4
3890;53;"Lanka, Zigurds";"White";"exd5";5
3891;53;"Schmidt, P";"Black";"cxd5";6
3892;53;"Lanka, Zigurds";"White";"c4";7
3893;53;"Schmidt, P";"Black";"Nf6";8
3894;53;"Lanka, Zigurds";"White";"Nc3";9
3895;53;"Schmidt, P";"Black";"Nc6";10
3984;54;"Mueller, Karsten";"White";"e4";1
3985;54;"Agdestein, Simen";"Black";"c6";2
3986;54;"Mueller, Karsten";"White";"d4";3
3987;54;"Agdestein, Simen";"Black";"d5";4
3988;54;"Mueller, Karsten";"White";"exd5";5
3989;54;"Agdestein, Simen";"Black";"cxd5";6
3990;54;"Mueller, Karsten";"White";"Bd3";7
3991;54;"Agdestein, Simen";"Black";"Nf6";8
3992;54;"Mueller, Karsten";"White";"c3";9
3993;54;"Agdestein, Simen";"Black";"Nc6";10
4092;55;"Holzke, Frank";"White";"e4";1
4093;55;"Roos, Daniel";"Black";"c6";2
4094;55;"Holzke, Frank";"White";"d4";3
4095;55;"Roos, Daniel";"Black";"d5";4
4096;55;"Holzke, Frank";"White";"exd5";5
4097;55;"Roos, Daniel";"Black";"cxd5";6
4098;55;"Holzke, Frank";"White";"c4";7
4099;55;"Roos, Daniel";"Black";"Nf6";8
4100;55;"Holzke, Frank";"White";"Nc3";9
4101;55;"Roos, Daniel";"Black";"e6";10
4173;56;"Lanka, Zigurds";"White";"e4";1
4174;56;"Cvitan, Ognjen";"Black";"c6";2
4175;56;"Lanka, Zigurds";"White";"d4";3
4176;56;"Cvitan, Ognjen";"Black";"d5";4
4177;56;"Lanka, Zigurds";"White";"exd5";5
4178;56;"Cvitan, Ognjen";"Black";"cxd5";6
4179;56;"Lanka, Zigurds";"White";"c4";7
4180;56;"Cvitan, Ognjen";"Black";"Nf6";8
4181;56;"Lanka, Zigurds";"White";"Nc3";9
4182;56;"Cvitan, Ognjen";"Black";"e6";10
4248;57;"Reeh, Oliver";"White";"e4";1
4249;57;"Grund, Holger";"Black";"c6";2
4250;57;"Reeh, Oliver";"White";"c4";3
4251;57;"Grund, Holger";"Black";"d5";4
4252;57;"Reeh, Oliver";"White";"exd5";5
4253;57;"Grund, Holger";"Black";"cxd5";6
4254;57;"Reeh, Oliver";"White";"cxd5";7
4255;57;"Grund, Holger";"Black";"Qxd5";8
4256;57;"Reeh, Oliver";"White";"Nc3";9
4257;57;"Grund, Holger";"Black";"Qd6";10
4399;58;"Brynell, Stellan";"White";"e4";1
4400;58;"Speelman, Jonathan S";"Black";"c6";2
4401;58;"Brynell, Stellan";"White";"d4";3
4402;58;"Speelman, Jonathan S";"Black";"d5";4
4403;58;"Brynell, Stellan";"White";"exd5";5
4404;58;"Speelman, Jonathan S";"Black";"cxd5";6
4405;58;"Brynell, Stellan";"White";"c4";7
4406;58;"Speelman, Jonathan S";"Black";"Nf6";8
4407;58;"Brynell, Stellan";"White";"Nc3";9
4408;58;"Speelman, Jonathan S";"Black";"Nc6";10
4504;59;"De Val, D";"White";"e4";1
4505;59;"Golubovic, Boris";"Black";"c6";2
4506;59;"De Val, D";"White";"d4";3
4507;59;"Golubovic, Boris";"Black";"d5";4
4508;59;"De Val, D";"White";"exd5";5
4509;59;"Golubovic, Boris";"Black";"cxd5";6
4510;59;"De Val, D";"White";"c4";7
4511;59;"Golubovic, Boris";"Black";"Nf6";8
4512;59;"De Val, D";"White";"Nc3";9
4513;59;"Golubovic, Boris";"Black";"e6";10
4625;61;"Sermek, Drazen";"White";"e4";1
4626;61;"Atalik, Suat";"Black";"c6";2
4627;61;"Sermek, Drazen";"White";"d4";3
4628;61;"Atalik, Suat";"Black";"d5";4
4629;61;"Sermek, Drazen";"White";"exd5";5
4630;61;"Atalik, Suat";"Black";"cxd5";6
4631;61;"Sermek, Drazen";"White";"c4";7
4632;61;"Atalik, Suat";"Black";"Nf6";8
4633;61;"Sermek, Drazen";"White";"Nc3";9
4634;61;"Atalik, Suat";"Black";"e6";10
4752;62;"Sveshnikov, Evgeny E";"White";"e4";1
4753;62;"Zupe, Miran";"Black";"c6";2
4754;62;"Sveshnikov, Evgeny E";"White";"d4";3
4755;62;"Zupe, Miran";"Black";"d5";4
4756;62;"Sveshnikov, Evgeny E";"White";"exd5";5
4757;62;"Zupe, Miran";"Black";"cxd5";6
4758;62;"Sveshnikov, Evgeny E";"White";"c4";7
4759;62;"Zupe, Miran";"Black";"Nf6";8
4760;62;"Sveshnikov, Evgeny E";"White";"Nc3";9
4761;62;"Zupe, Miran";"Black";"Nc6";10
4864;63;"Del Rio Angelis, Salvador G";"White";"e4";1
4865;63;"Becerra Rivero, Julio";"Black";"c6";2
4866;63;"Del Rio Angelis, Salvador G";"White";"d4";3
4867;63;"Becerra Rivero, Julio";"Black";"d5";4
4868;63;"Del Rio Angelis, Salvador G";"White";"exd5";5
4869;63;"Becerra Rivero, Julio";"Black";"cxd5";6
4870;63;"Del Rio Angelis, Salvador G";"White";"c4";7
