"X";"game";"player";"color";"move";"turn"
1966;34;"Berger, Johann N";"Black";"Nf6";8
1967;34;"Leonhardt, Paul S";"White";"d4";9
1968;34;"Berger, Johann N";"Black";"exd4";10
2051;35;"Spielmann, Rudolf";"White";"e4";1
2052;35;"Cohn, Erich";"Black";"e5";2
2053;35;"Spielmann, Rudolf";"White";"Nf3";3
2054;35;"Cohn, Erich";"Black";"Nc6";4
2055;35;"Spielmann, Rudolf";"White";"Bc4";5
2056;35;"Cohn, Erich";"Black";"Bc5";6
2057;35;"Spielmann, Rudolf";"White";"c3";7
2058;35;"Cohn, Erich";"Black";"Nf6";8
2059;35;"Spielmann, Rudolf";"White";"d4";9
2060;35;"Cohn, Erich";"Black";"exd4";10
2090;36;"Leonhardt, Paul S";"White";"e4";1
2091;36;"Wolf, Heinrich";"Black";"e5";2
2092;36;"Leonhardt, Paul S";"White";"Nf3";3
2093;36;"Wolf, Heinrich";"Black";"Nc6";4
2094;36;"Leonhardt, Paul S";"White";"Bc4";5
2095;36;"Wolf, Heinrich";"Black";"Bc5";6
2096;36;"Leonhardt, Paul S";"White";"c3";7
2097;36;"Wolf, Heinrich";"Black";"Nf6";8
2098;36;"Leonhardt, Paul S";"White";"d4";9
2099;36;"Wolf, Heinrich";"Black";"exd4";10
2140;37;"Spielmann, Rudolf";"White";"e4";1
2141;37;"Duras, Oldrich";"Black";"e5";2
2142;37;"Spielmann, Rudolf";"White";"Nf3";3
2143;37;"Duras, Oldrich";"Black";"Nc6";4
2144;37;"Spielmann, Rudolf";"White";"Bc4";5
2145;37;"Duras, Oldrich";"Black";"Bc5";6
2146;37;"Spielmann, Rudolf";"White";"c3";7
2147;37;"Duras, Oldrich";"Black";"Nf6";8
2148;37;"Spielmann, Rudolf";"White";"d4";9
2149;37;"Duras, Oldrich";"Black";"exd4";10
2338;38;"Maroczy, Geza";"White";"e4";1
2339;38;"Janowski, Dawid M";"Black";"e5";2
2340;38;"Maroczy, Geza";"White";"Nf3";3
2341;38;"Janowski, Dawid M";"Black";"Nc6";4
2342;38;"Maroczy, Geza";"White";"Bc4";5
2343;38;"Janowski, Dawid M";"Black";"Bc5";6
2344;38;"Maroczy, Geza";"White";"c3";7
2345;38;"Janowski, Dawid M";"Black";"Nf6";8
2346;38;"Maroczy, Geza";"White";"d4";9
2347;38;"Janowski, Dawid M";"Black";"exd4";10
2431;39;"Albin, Adolf";"White";"e4";1
2432;39;"Wolf, Heinrich";"Black";"e5";2
2433;39;"Albin, Adolf";"White";"Bc4";3
2434;39;"Wolf, Heinrich";"Black";"Nc6";4
2435;39;"Albin, Adolf";"White";"d3";5
2436;39;"Wolf, Heinrich";"Black";"Bc5";6
2437;39;"Albin, Adolf";"White";"Nf3";7
2438;39;"Wolf, Heinrich";"Black";"d6";8
2439;39;"Albin, Adolf";"White";"c3";9
2440;39;"Wolf, Heinrich";"Black";"Nf6";10
2570;40;"Mieses, Jacques";"White";"e4";1
2571;40;"Spielmann, Rudolf";"Black";"e5";2
2572;40;"Mieses, Jacques";"White";"Nf3";3
2573;40;"Spielmann, Rudolf";"Black";"Nc6";4
2574;40;"Mieses, Jacques";"White";"Bc4";5
2575;40;"Spielmann, Rudolf";"Black";"Bc5";6
2576;40;"Mieses, Jacques";"White";"c3";7
2577;40;"Spielmann, Rudolf";"Black";"Nf6";8
2578;40;"Mieses, Jacques";"White";"d4";9
2579;40;"Spielmann, Rudolf";"Black";"exd4";10
2675;41;"Von Gottschall, Hermann";"White";"e4";1
2676;41;"Wolf, Heinrich";"Black";"e5";2
2677;41;"Von Gottschall, Hermann";"White";"Nf3";3
2678;41;"Wolf, Heinrich";"Black";"Nc6";4
2679;41;"Von Gottschall, Hermann";"White";"Bc4";5
2680;41;"Wolf, Heinrich";"Black";"Bc5";6
2681;41;"Von Gottschall, Hermann";"White";"c3";7
2682;41;"Wolf, Heinrich";"Black";"Nf6";8
2683;41;"Von Gottschall, Hermann";"White";"d4";9
2684;41;"Wolf, Heinrich";"Black";"exd4";10
2739;42;"Von Gottschall, Hermann";"White";"e4";1
2740;42;"Salwe, Georg H S";"Black";"e5";2
2741;42;"Von Gottschall, Hermann";"White";"Nf3";3
2742;42;"Salwe, Georg H S";"Black";"Nc6";4
2743;42;"Von Gottschall, Hermann";"White";"Bc4";5
2744;42;"Salwe, Georg H S";"Black";"Bc5";6
2745;42;"Von Gottschall, Hermann";"White";"c3";7
2746;42;"Salwe, Georg H S";"Black";"Nf6";8
2747;42;"Von Gottschall, Hermann";"White";"d4";9
2748;42;"Salwe, Georg H S";"Black";"exd4";10
2814;43;"Langborg, Hugo W";"White";"e4";1
2815;43;"Leonhardt, Paul S";"Black";"e5";2
2816;43;"Langborg, Hugo W";"White";"Nf3";3
2817;43;"Leonhardt, Paul S";"Black";"Nc6";4
2818;43;"Langborg, Hugo W";"White";"Bc4";5
2819;43;"Leonhardt, Paul S";"Black";"Bc5";6
2820;43;"Langborg, Hugo W";"White";"c3";7
2821;43;"Leonhardt, Paul S";"Black";"Nf6";8
2822;43;"Langborg, Hugo W";"White";"d3";9
2823;43;"Leonhardt, Paul S";"Black";"d6";10
2864;44;"Leonhardt, Paul S";"White";"e4";1
2865;44;"Rubinstein, Akiba K";"Black";"e5";2
2866;44;"Leonhardt, Paul S";"White";"Nf3";3
2867;44;"Rubinstein, Akiba K";"Black";"Nc6";4
2868;44;"Leonhardt, Paul S";"White";"Bc4";5
2869;44;"Rubinstein, Akiba K";"Black";"Bc5";6
2870;44;"Leonhardt, Paul S";"White";"c3";7
2871;44;"Rubinstein, Akiba K";"Black";"Nf6";8
2872;44;"Leonhardt, Paul S";"White";"d4";9
2873;44;"Rubinstein, Akiba K";"Black";"exd4";10
3015;46;"Euwe, Max";"White";"e4";1
3016;46;"Kroone, Gerard";"Black";"e5";2
3017;46;"Euwe, Max";"White";"Nf3";3
3018;46;"Kroone, Gerard";"Black";"Nc6";4
